depth,L1P_mean,L1P_sd,L1P_l,L1P_u,L1F_mean,L1F_sd,L1F_l,L1F_u,L2P_mean,L2P_sd,L2P_l,L2P_u,L2F_mean,L2F_sd,L2F_l,L2F_u,LinftyP_mean,LinftyP_sd,LinftyP_l,LinftyP_u,LinftyF_mean,LinftyF_sd,LinftyF_l,LinftyF_u,timeP_mean,timeP_sd,timeP_l,timeP_u,timeF_mean,timeF_sd,timeF_l,timeF_u
1.0,-0.2125,0.0003,-0.2131,-0.2119,-0.3802,0.0011,-0.3823,-0.378,-0.1005,0.0008,-0.1019,-0.0991,-0.2361,0.0,-0.2361,-0.236,0.5286,0.0016,0.5256,0.5315,0.4001,0.0026,0.395,0.4048,-5.6788,0.2149,-6.3363,-5.4071,-2.9211,0.2919,-3.7468,-2.7059
2.0,-0.7616,0.0016,-0.7642,-0.7578,-1.2052,0.0018,-1.2087,-1.2021,-0.5399,0.003,-0.5452,-0.5337,-0.8848,0.0001,-0.8849,-0.8845,0.3717,0.006,0.36,0.3829,0.1868,0.0057,0.1775,0.1984,-5.3371,0.2454,-6.0474,-4.9092,-2.1775,0.2911,-3.0017,-1.8659
3.0,-1.3135,0.006,-1.3237,-1.3013,-1.8167,0.0025,-1.8211,-1.8119,-1.0412,0.0053,-1.0512,-1.0291,-1.5015,0.0007,-1.5023,-1.4999,0.0692,0.0115,0.0456,0.0891,-0.3665,0.0128,-0.3825,-0.3346,-4.8384,0.2679,-5.5934,-4.5174,-1.5094,0.2883,-2.3173,-1.284
4.0,-1.8536,0.0136,-1.8784,-1.83,-2.5175,0.0069,-2.5263,-2.4987,-1.5643,0.0086,-1.5798,-1.5472,-2.1705,0.0052,-2.178,-2.1567,-0.2828,0.0174,-0.3161,-0.2499,-1.0035,0.0352,-1.0562,-0.927,-4.2148,0.2698,-4.988,-3.9606,-0.8481,0.2873,-1.6482,-0.621
5.0,-2.3364,0.0233,-2.381,-2.2946,-3.1045,0.0309,-3.1544,-3.0324,-2.0693,0.0153,-2.0958,-2.041,-2.7621,0.0348,-2.812,-2.6824,-0.689,0.0254,-0.7426,-0.6441,-1.5296,0.0801,-1.6643,-1.3355,-3.5442,0.2937,-4.3395,-3.251,-0.1833,0.2873,-0.9819,0.0481
6.0,-2.7112,0.0362,-2.7768,-2.6372,-3.319,0.0576,-3.4208,-3.2087,-2.4806,0.031,-2.5351,-2.4205,-2.9453,0.0677,-3.0677,-2.8145,-1.127,0.0369,-1.1939,-1.0485,-1.6071,0.1186,-1.8017,-1.337,-2.8253,0.2994,-3.6309,-2.5304,0.4907,0.2862,-0.302,0.7167
7.0,-2.959,0.0482,-3.0529,-2.8626,-3.2937,0.0604,-3.3968,-3.181,-2.7247,0.0495,-2.8183,-2.631,-2.9163,0.068,-3.0348,-2.7709,-1.5239,0.0746,-1.65,-1.3589,-1.5795,0.1087,-1.7664,-1.3206,-2.0969,0.2994,-2.9025,-1.7976,1.1713,0.2855,0.3813,1.3964
8.0,-3.1033,0.0559,-3.2025,-2.9935,-3.2798,0.0585,-3.3915,-3.1741,-2.8272,0.0602,-2.9357,-2.7123,-2.9055,0.0656,-3.0235,-2.7643,-1.5531,0.1059,-1.7688,-1.3528,-1.5743,0.1112,-1.7593,-1.3033,-1.3291,0.2985,-2.1265,-1.036,1.8575,0.2822,1.0722,2.0815
9.0,-3.1813,0.0598,-3.2968,-3.0652,-3.2771,0.0582,-3.389,-3.1706,-2.8615,0.0643,-2.9798,-2.7395,-2.9044,0.0655,-3.0218,-2.7625,-1.5498,0.1142,-1.7658,-1.3412,-1.5776,0.1076,-1.7615,-1.3191,-0.5194,0.292,-1.3058,-0.2416,2.55,0.2818,1.7619,2.776
10.0,-3.2215,0.0619,-3.3418,-3.1024,-3.2759,0.0582,-3.388,-3.1696,-2.8721,0.0656,-2.9923,-2.7464,-2.9041,0.0655,-3.0216,-2.7623,-1.5516,0.1068,-1.7653,-1.3405,-1.5761,0.1096,-1.7615,-1.3033,0.3631,0.2853,-0.4263,0.6212,3.2393,0.2794,2.4514,3.4553
