depth,L1P_mean,L1P_sd,L1P_l,L1P_u,L1F_mean,L1F_sd,L1F_l,L1F_u,L2P_mean,L2P_sd,L2P_l,L2P_u,L2F_mean,L2F_sd,L2F_l,L2F_u,LinftyP_mean,LinftyP_sd,LinftyP_l,LinftyP_u,LinftyF_mean,LinftyF_sd,LinftyF_l,LinftyF_u,timeP_mean,timeP_sd,timeP_l,timeP_u,timeF_mean,timeF_sd,timeF_l,timeF_u
1.0,-0.3588,0.0004,-0.3597,-0.358,-0.4259,0.0009,-0.4277,-0.4242,0.1632,0.0004,0.1626,0.164,0.1518,0.0,0.1518,0.1518,1.9768,0.0003,1.9763,1.9774,1.9703,0.0006,1.9691,1.9715,-5.6601,0.2094,-6.1982,-5.0292,-2.949,0.2908,-3.6931,-2.378
2.0,-0.8347,0.0098,-0.853,-0.8154,-0.8372,0.0037,-0.8443,-0.8298,-0.3231,0.0153,-0.3521,-0.2941,-0.1049,0.0001,-0.105,-0.1047,1.2843,0.0187,1.2589,1.3266,1.8166,0.0015,1.8137,1.8193,-5.338,0.227,-5.9338,-4.7641,-2.2186,0.2917,-2.9582,-1.6423
3.0,-1.1855,0.0058,-1.1961,-1.1743,-1.0922,0.0034,-1.0981,-1.0856,-0.5399,0.01,-0.5574,-0.5176,-0.1856,0.0001,-0.1858,-0.1853,1.4852,0.0286,1.4306,1.5358,1.7139,0.0032,1.7078,1.72,-4.8464,0.2474,-5.5195,-4.3719,-1.5544,0.2882,-2.2784,-0.9667
4.0,-1.833,0.0113,-1.8525,-1.8092,-1.5715,0.0042,-1.5781,-1.5626,-1.1476,0.0089,-1.1623,-1.1298,-0.4494,0.0002,-0.4497,-0.4489,1.1312,0.031,1.0753,1.1914,1.4047,0.0082,1.3896,1.4211,-4.2556,0.2696,-4.9208,-3.7933,-0.896,0.2879,-1.6137,-0.3031
5.0,-2.4739,0.0225,-2.5155,-2.431,-1.8522,0.0099,-1.8697,-1.8312,-1.7819,0.0113,-1.799,-1.7567,-0.626,0.0005,-0.6267,-0.625,0.3846,0.0555,0.2884,0.5108,1.4584,0.0098,1.44,1.4778,-3.5859,0.2823,-4.2925,-3.1484,-0.235,0.2847,-0.9608,0.3648
6.0,-2.8786,0.0402,-2.9537,-2.8008,-2.4624,0.0202,-2.5001,-2.425,-2.2318,0.0345,-2.2953,-2.1635,-1.2929,0.0025,-1.2965,-1.288,-0.0181,0.1082,-0.1866,0.2232,1.0303,0.0237,0.9908,1.077,-2.8875,0.2961,-3.6031,-2.4546,0.4361,0.2828,-0.2954,0.9964
7.0,-3.033,0.0502,-3.1311,-2.9393,-2.775,0.0304,-2.8274,-2.7129,-2.3882,0.0537,-2.4911,-2.2699,-1.8561,0.0129,-1.8751,-1.8299,-0.0188,0.1301,-0.2454,0.2763,0.477,0.0448,0.402,0.5773,-2.1537,0.3022,-2.8745,-1.6744,1.1168,0.2891,0.3781,1.7151
8.0,-3.0451,0.0513,-3.1493,-2.9504,-3.0096,0.0461,-3.0947,-2.9155,-2.3859,0.054,-2.4968,-2.2736,-2.3641,0.0725,-2.4693,-2.2144,-0.0088,0.1266,-0.2274,0.2875,0.0607,0.1996,-0.2506,0.4605,-0.5684,0.2882,-1.2827,-0.0749,2.4883,0.2807,1.7491,2.9057
9.0,-3.043,0.0514,-3.1507,-2.9495,-2.9977,0.0452,-3.0746,-2.9099,-2.3832,0.0539,-2.4958,-2.2709,-2.3401,0.0694,-2.4445,-2.2034,-0.0059,0.1348,-0.2273,0.2895,0.0831,0.1969,-0.2102,0.4784,0.3263,0.2827,-0.3819,0.8794,3.1817,0.2849,2.444,3.5968
10.0,-3.0418,0.0513,-3.1489,-2.9455,-2.9953,0.045,-3.0723,-2.8993,-2.3817,0.0542,-2.4933,-2.27,-2.335,0.0688,-2.441,-2.198,-0.0017,0.1512,-0.2273,0.2924,0.0891,0.1996,-0.198,0.4931,1.3251,0.2756,0.6082,1.9275,3.8735,0.2688,3.1415,4.1715
11.0,-3.0416,0.0512,-3.1489,-2.9444,-2.9952,0.0452,-3.0722,-2.8992,-2.3817,0.054,-2.4937,-2.2698,-2.3343,0.0693,-2.4408,-2.1974,-0.0027,0.1497,-0.2273,0.2895,0.092,0.2095,-0.1979,0.4931,2.4171,0.252,1.6979,2.7278,4.5744,0.2627,3.8484,4.7957
12.0,-3.0417,0.0513,-3.1489,-2.9449,-2.9952,0.0452,-3.0722,-2.8992,-2.3818,0.0539,-2.4937,-2.2698,-2.3343,0.0691,-2.4406,-2.1973,-0.0039,0.145,-0.2273,0.2895,0.0937,0.2095,-0.1979,0.4963,3.6461,0.2692,2.9317,3.8864,5.2907,0.2614,4.5624,5.5024
13.0,-3.0417,0.0513,-3.1489,-2.9458,-2.9953,0.0452,-3.0724,-2.8992,-2.3819,0.0539,-2.4937,-2.2698,-2.3344,0.0691,-2.441,-2.1973,-0.0042,0.1438,-0.2273,0.2895,0.0982,0.2136,-0.1979,0.4963,4.9344,0.2639,4.233,5.5159,6.0351,0.2577,5.3021,6.2478
14.0,-3.0417,0.0513,-3.1489,-2.9459,-2.9954,0.0452,-3.0725,-2.8992,-2.3819,0.0539,-2.4937,-2.2698,-2.3345,0.0692,-2.4417,-2.1974,-0.0042,0.1438,-0.2273,0.2895,0.0981,0.2111,-0.1979,0.4963,6.3453,0.2884,5.5827,6.8568,6.8286,0.2543,6.0886,7.0534
