500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF,50000_L1P,50000_L1F,50000_L2P,50000_L2F,50000_LIP,50000_LIF,50000_TP,50000_TF
0.26950328940642737,-0.08337845004760519,0.795111670859191,0.7141353640837316,2.947471828310402,2.887841787662235,-7.367376097471161,-8.074532812234539,0.2693263773088548,-0.08358597646481826,0.795644910927103,0.7141347161127442,2.947565795094637,2.8881791285305667,-7.504063347450728,-7.744175666570919,0.2693258999581814,-0.08358954735776385,0.7971283025362779,0.7141345081537672,2.947692894949059,2.8892054204290236,-7.157985685494747,-5.9359553396694675,0.26939115903198496,-0.08376457788761339,0.7979092032868159,0.71413449984689,2.947747841242608,2.889644766646814,-6.006819365753066,-3.6724303993250995
-0.26003626737350566,-0.9200683634183029,0.14689667399087897,0.4683471975166738,2.099029660599377,2.779688402490181,-6.635151846660478,-7.324280098178602,-0.22425003358682882,-0.9255345579868767,0.2488181661731923,0.4683442296921997,2.1295943893220937,2.7806998731155548,-7.035315817167744,-6.982053566747302,-0.18169927579742898,-0.9316863605766571,0.31458859108618387,0.4683370834227011,2.1977870573646383,2.782548454988388,-6.611209026405125,-5.23381668214792,-0.16093356603714287,-0.9332691710661596,0.34616218960701484,0.46833633757131343,2.2678084329327404,2.7839826877942673,-5.8462013411637335,-2.9468116120595678
-0.8689516707306311,-0.8793479253625448,-0.17164046757033455,0.4360182809693367,2.065849110858713,2.7125395314573604,-5.852864209921838,-6.674936939563195,-0.86055797410025,-0.8726187093314887,-0.12955887929224177,0.43598883564502855,2.207135041363887,2.7175511398796446,-6.421498605252215,-6.288834487048124,-0.8499114308432033,-0.8604287366795788,-0.11053437000180984,0.4359553743685231,2.29385007328954,2.726982294179952,-5.810016540751168,-4.537027902997574,-0.8418231589020895,-0.8524231685711291,-0.09258382851497984,0.4359544391546006,2.3676941225297004,2.7315680433636507,-5.459184563773414,-2.283856324603685
-1.597856727368369,-1.0979959382744284,-0.6963084507024792,0.2779139605302253,1.6750898043250406,2.5266079483614474,-5.069874058259194,-5.991386857733671,-1.7100315986426506,-1.1138413086112549,-0.7708963130897069,0.2778829790577323,1.6236866624687212,2.5388478442692444,-5.707380261453198,-5.602258195036215,-1.7792339121092782,-1.118982947745825,-0.7975279763284302,0.2774349320517704,1.5996252602316587,2.56362749663238,-5.01363976784662,-3.8691819821723255,-1.8142932641796046,-1.1179495533272181,-0.7873342512066946,0.2773698377082549,1.7383526674431553,2.5746874116901286,-4.868043471867849,-1.613156102589085
-1.9348674353586883,-1.3285012807607899,-0.947827266240744,0.1231073361903613,1.6089600955645256,2.207860555873227,-4.348658526607252,-5.310128747287899,-2.10659793721381,-1.3670894381757464,-1.047334175063697,0.11818023810960888,1.4768619969529917,2.2680014241652904,-4.996298748062451,-4.912967085355335,-2.3466523936480828,-1.4076224234469554,-1.2521309869992312,0.11560605022102384,1.2268577547835953,2.3049482172165243,-4.347717681627736,-3.2097439972211137,-2.5435731596147035,-1.4244535768039865,-1.3879615361182445,0.11494122746710969,1.056938022648785,2.3388711445256303,-4.266589889986056,-0.9736048151864098
-1.9506355115485643,-1.840063435508907,-0.9154199099539506,-0.4903797100382771,1.598257503875708,1.928733637042971,-3.647101170096619,-4.607100107713148,-2.1437070116009465,-1.9514912624794953,-1.068524550683794,-0.5146496615399387,1.4816900019627728,1.9398736489305493,-4.284767446266936,-4.228886541754214,-2.4959556516724724,-2.1203665711943214,-1.4152465794642253,-0.5384888086814087,1.1365161859543882,2.0521048248460088,-3.632983260198233,-2.539075254766972,-2.763748924152767,-2.2380694601666744,-1.687167705015529,-0.5466733095539709,0.5657485998857376,2.112555008174106,-3.559025130507803,-0.274708812661268
-1.9632845744616136,-1.867084248259763,-0.8924935404959036,-0.5798238041734379,1.6272405307617213,1.8869399121453456,-2.8959007970230943,-3.871288657688237,-2.168963547918379,-2.0184475134431827,-1.079140459474917,-0.6405602342457799,1.482346869359649,1.8815882033163769,-3.5140961548007397,-3.536761969175897,-2.587120525474961,-2.268719594716572,-1.4410354323040595,-0.7152922202329004,1.2057967384259778,1.8705185335635188,-2.895720598421787,-1.850512566609983,-3.044115094384587,-2.4839521574616055,-1.903417429982098,-0.7353396532708147,0.58600527642656,1.8606754209230603,-2.8830356647002926,0.35791949529877265
-1.966141919561349,-1.975301250347135,-0.8853471365703152,-0.7634221551885366,1.6378452893771607,1.7123516338387694,-2.1305946060932928,-3.111219087932893,-2.1661546950283546,-2.1107723017063784,-1.0803693038240534,-0.9633927001236485,1.5087428490460977,1.5733624558984922,-2.725031073015755,-2.7899904857476305,-2.637531930713567,-2.613962934407588,-1.4701724764378739,-1.2774969223691148,1.196403688303085,1.351223001896951,-2.1068439090911357,-1.1527572609225734,-3.214914566345564,-3.0061498927541304,-2.047374124061515,-1.3870004274128505,0.5961453178779534,1.3020150436484894,-2.1224935408397756,1.0477350788897675
,,,,,,,,,,,,,,,,-2.648169220346706,-2.7053445383144905,-1.4841764861311293,-1.499311594682948,1.1874651428481302,1.2112041190033347,-1.340764766564415,-0.5158222794666102,-3.273557389918066,-3.326713470015498,-2.07915926344845,-1.971450186647732,0.598331682752078,0.716682960492395,-1.3373499018986232,1.730903803743599
,,,,,,,,,,,,,,,,-2.6604609964460466,-2.6847865179738686,-1.4910950945722032,-1.483324607284171,1.188064958024201,1.2399847337630066,-0.467673588957726,0.20388908775913012,-3.2805010020047476,-3.4253781652027167,-2.1124956850363414,-2.1766970955464493,0.5983527765682223,0.5574838867993802,-0.4662872949550988,2.425818384739482
,,,,,,,,,,,,,,,,,,,,,,,,-3.300603825649702,-3.3981400781435367,-2.126447409474032,-2.135524809184856,0.598354615407242,0.6264828221740295,0.5508777515693396,3.1296689125888855
,,,,,,,,,,,,,,,,,,,,,,,,-3.3045311727354076,-3.394855055621399,-2.127759129806082,-2.136258584256978,0.5983548581756152,0.6155952829684209,1.7082451644694976,3.8399901454011105
