100_L1P,100_L1F,100_L2P,100_L2F,100_LIP,100_LIF,100_TP,100_TF,200_L1P,200_L1F,200_L2P,200_L2F,200_LIP,200_LIF,200_TP,200_TF,500_L1P,500_L1F,500_L2P,500_L2F,500_LIP,500_LIF,500_TP,500_TF,1000_L1P,1000_L1F,1000_L2P,1000_L2F,1000_LIP,1000_LIF,1000_TP,1000_TF,2000_L1P,2000_L1F,2000_L2P,2000_L2F,2000_LIP,2000_LIF,2000_TP,2000_TF,5000_L1P,5000_L1F,5000_L2P,5000_L2F,5000_LIP,5000_LIF,5000_TP,5000_TF,10000_L1P,10000_L1F,10000_L2P,10000_L2F,10000_LIP,10000_LIF,10000_TP,10000_TF,20000_L1P,20000_L1F,20000_L2P,20000_L2F,20000_LIP,20000_LIF,20000_TP,20000_TF,50000_L1P,50000_L1F,50000_L2P,50000_L2F,50000_LIP,50000_LIF,50000_TP,50000_TF
0.12372031,0.03149644,0.37483869,0.28328506,1.54078426,1.42089604,-7.82999265,-8.03917683,0.1197751,0.02990451,0.36945204,0.28603492,1.53049593,1.44253599,-7.76443434,-8.04535027,0.11920208,0.0355295,0.36917222,0.28755253,1.54464161,1.44799159,-7.60241852,-7.93683503,0.11938308,0.036919,0.36988368,0.29634648,1.56040891,1.4536978,-7.4069985,-7.86546686,0.11949262,0.03949244,0.37013432,0.29879284,1.56296653,1.45724735,-7.0953496,-7.97205398,0.11965952,0.03713799,0.37058211,0.29713287,1.56817854,1.46095601,-6.87205344,-7.84842432,0.11944451,0.04869102,0.37038477,0.3203264,1.5683192,1.46296713,-5.87428405,-7.14928988,0.12043613,0.03746152,0.37239554,0.29802031,1.57285383,1.46394679,-5.75310128,-7.16876074,0.12081572,0.04846892,0.3733317,0.32031405,1.57332567,1.465132,-4.8154509,-6.25181643
-0.01979762,-0.25950746,0.23742932,0.1188413,1.42184204,1.17069942,-6.97363877,-7.43169317,-0.02367351,-0.25982124,0.22789985,0.11961568,1.42156331,1.17300962,-6.92396225,-7.41962748,-0.02207744,-0.25531782,0.22904279,0.11842897,1.41675868,1.1863561,-6.81207904,-7.39184438,-0.02086249,-0.25589615,0.23583444,0.11768046,1.46607244,1.18805333,-6.60085425,-7.33030011,-0.01410265,-0.25666797,0.24777261,0.11857009,1.47150876,1.18904725,-6.63195967,-7.47918419,-0.0134867,-0.25243462,0.2551993,0.12138186,1.48714854,1.19085484,-6.10862202,-7.07324962,-0.01637237,-0.2444321,0.24170422,0.12567891,1.48758447,1.19389476,-5.24365649,-6.76251946,0.00574503,-0.24291464,0.28440946,0.12984317,1.50448378,1.19677597,-4.55957567,-6.80098087,0.00526794,-0.24189395,0.28377721,0.13027681,1.51097306,1.19674021,-4.09737374,-6.0591769
-0.14841783,-0.40457595,0.13104289,-0.02144323,1.32433472,1.13921634,-5.72841373,-6.36869769,-0.18700871,-0.42871469,0.09772825,-0.02692249,1.30409308,1.17254523,-5.69010869,-6.35693582,-0.19713872,-0.44081015,0.09612267,-0.02627836,1.31078048,1.22340578,-5.60843912,-6.33711848,-0.20389267,-0.44397841,0.0900013,-0.02785889,1.34714765,1.23574402,-5.44833978,-6.29940564,-0.20912019,-0.44106126,0.0807764,-0.01812836,1.3406598,1.26162682,-5.55634433,-6.66461616,-0.19812985,-0.44209855,0.10397434,-0.02033663,1.39864961,1.26437008,-5.10506886,-6.45583315,-0.18991328,-0.43470973,0.11951657,-0.00740578,1.44133599,1.27433919,-4.20446825,-5.93306576,-0.17771978,-0.4369532,0.13936071,-0.00915445,1.46668253,1.27557389,-4.07070684,-6.10352664,-0.17561733,-0.43421766,0.14292275,0.00249071,1.47505988,1.29897128,-3.15839936,-5.40589931
-0.21117462,-0.56827319,0.0799821,-0.20174954,1.27044994,1.06129018,-4.38297097,-5.10801683,-0.33808699,-0.68746118,-0.03732856,-0.28987402,1.17003383,1.03837135,-4.35463898,-5.08287091,-0.45330829,-0.77106402,-0.15322103,-0.33553601,1.12469261,1.07090867,-4.28002772,-5.07683268,-0.47917481,-0.79598882,-0.1625944,-0.34655293,1.14403088,1.1142162,-4.1702375,-5.0462071,-0.50105916,-0.81584223,-0.18464616,-0.35528135,1.13563659,1.12504581,-4.37060133,-5.48616861,-0.50071356,-0.81384003,-0.17303991,-0.33786863,1.14394598,1.15841373,-3.91972941,-5.34771985,-0.50168394,-0.8268315,-0.16699644,-0.35831539,1.1489388,1.149367,-3.10563852,-4.79433776,-0.47836386,-0.83116232,-0.13059653,-0.3617439,1.18602581,1.15010649,-2.93725754,-4.59698586,-0.4687961,-0.81794161,-0.11708618,-0.33655586,1.20316164,1.19513526,-2.13819048,-4.59734073
-0.21209151,-0.60207377,0.08017866,-0.25459288,1.26462644,1.04097812,-2.86077216,-3.75780508,-0.37602532,-0.79707906,-0.0682291,-0.41416266,1.13792315,0.98557985,-2.83788809,-3.73786735,-0.61830674,-0.97996228,-0.30466894,-0.55655131,1.00281692,0.92732039,-2.88289544,-3.72958193,-0.73714437,-1.07767451,-0.42785871,-0.62637788,0.92371218,0.88632544,-2.79005345,-3.7140073,-0.82364956,-1.13127919,-0.51562383,-0.64819171,0.91726641,0.93833159,-3.10499043,-4.18170632,-0.84879104,-1.16348615,-0.51601497,-0.66125845,0.91396231,0.97919349,-2.70688,-4.07192514,-0.82568172,-1.17970035,-0.47922085,-0.66195122,0.95510967,0.99914629,-1.90712489,-3.52670192,-0.84126113,-1.18076395,-0.49144926,-0.64996339,0.95831268,1.05279547,-1.78279988,-3.40050802,-0.81357327,-1.1849099,-0.44652806,-0.65332749,1.00938397,1.09538916,-1.05426225,-3.52392536
,,,,,,,,-0.3760482,-0.81891899,-0.0687728,-0.44201544,1.13635592,0.972084,-1.41455296,-2.36846538,-0.67283509,-1.05776277,-0.35186633,-0.65869666,0.986064,0.8120897,-1.39163986,-2.35691474,-0.89453937,-1.23507336,-0.57654358,-0.80433102,0.84568711,0.77242042,-1.31935054,-2.33825121,-1.0768251,-1.38630911,-0.76052199,-0.92471276,0.6995359,0.71067476,-1.60068826,-2.78809831,-1.15804573,-1.51069259,-0.84117866,-0.99904404,0.66639365,0.69986808,-1.42622383,-2.75427815,-1.14748862,-1.56052885,-0.7985664,-1.02348415,0.73998171,0.67959188,-0.64977618,-2.20002001,-1.21626242,-1.58673195,-0.87123519,-1.02922835,0.70404947,0.73595991,-0.66018174,-2.46006595,-1.18434258,-1.60302922,-0.821879,-1.03166652,0.75411717,0.74528866,0.09344695,-2.32961202
,,,,,,,,,,,,,,,,-0.68073792,-1.0835391,-0.36216495,-0.6775099,0.97753965,0.79375294,0.00927282,-0.96694329,-0.92480398,-1.2708438,-0.60296345,-0.85443172,0.80730185,0.70475265,0.07503922,-0.95526189,-1.20390639,-1.46247229,-0.88224165,-1.01367868,0.63198008,0.64878516,-0.25578206,-1.36787049,-1.42321715,-1.68602023,-1.11157911,-1.20332389,0.42821298,0.52408847,-0.07162643,-1.36946303,-1.50445161,-1.80809532,-1.17822178,-1.29917361,0.4153341,0.46850628,0.7195748,-0.838066,-1.542055,-1.88120741,-1.2125043,-1.33703925,0.44197503,0.44465154,0.62105063,-1.3151649,-1.59963824,-1.92666907,-1.25205348,-1.35925602,0.49040449,0.42770364,1.31701399,-1.07148096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.20469632,-1.47928592,-0.88266794,-1.03471994,0.65405958,0.62258774,1.07120768,0.01904562,-1.53627746,-1.74905188,-1.20856232,-1.27757426,0.35394491,0.49163443,1.30292043,0.02167683,-1.71109984,-1.9336091,-1.37719018,-1.44992733,0.29649934,0.34645683,2.06202465,0.57621867,-1.7889517,-2.08257783,-1.44408515,-1.56485106,0.21618161,0.23696009,1.91745669,0.13040622,-1.87763774,-2.22748855,-1.52768878,-1.67812229,0.17350229,0.14032975,2.61840454,0.25770651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.54816949,-1.75858991,-1.20772415,-1.28969209,0.40566102,0.47265387,3.4237325,1.44830956,-1.7943967,-1.95964524,-1.45214638,-1.48313479,0.29978135,0.30961406,3.9136246,1.99416696,-1.98174001,-2.13930413,-1.62223998,-1.62910671,0.17598887,0.20130408,3.50933954,1.48690594,-2.09914823,-2.35810991,-1.73654226,-1.8212796,0.03940765,0.05282218,3.72291032,1.62400759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.79847086,-1.96445561,-1.43526399,-1.48538348,0.30292271,0.3055058,5.48926197,3.3742443,-1.98657651,-2.15120647,-1.60078132,-1.64160868,0.15340173,0.19085232,4.97436445,2.90677231,-2.26803644,-2.39259277,-1.86817486,-1.86020451,0.02268534,0.03020188,5.06059626,2.95673673
